;;;;;;
DT40-PB;Insert voor gyproc installatie DT40-B/W;0 st.;7 €;0 €;;
DT40-PK;Plasterkit installatie DT40-B/W;0 st.;14 €;0 €;;
DT46-W;Bewegingsdetector duotecno inbouw helo wit;0 st.;140 €;0 €;;
DT46-B;Bewegingsdetector duotecno inbouw helo zwart;0 st.;140 €;0 €;;
DT46-PK;Plasterkit installatie trimless DT46-B/W;0 st.;14 €;0 €;;
DT46-PK-S;Scraper voor helo;0 st.;500 €;0 €;;
DT41-W;Bewegingsdetector duotecno voor buiten wit;0 st.;220 €;0 €;;
DT41-B;Bewegingsdetector duotecno voor buiten zwart;0 st.;220 €;0 €;;
;;;;;;
;Programmatie domotica (+/-);0 st.;79 €;0 €;;
;Totaal Duotecno schakelaars en bewegingsdetectoren;;;;;
;;;;;;
;Interfaces;;;;;
DTTL-00;Schemerschakelaar / twilight;0 st.;600 €;0 €;;
;Intelligente schemerschakelaar waar in 7 stappen de overgang van zon naar donker weergegeven wordt.;;;;;
;;;;;;
DT13-G3;RS 232 Alarminterface Galaxy;0 st.;500 €;0 €;;
DT13-ARI;RS 232 Alarminterface Aritech;0 st.;500 €;0 €;;
DT13-TC;RS 232 Alarminterface Texecom;0 st.;500 €;0 €;;
DT13-SAT;TCP/IP Alarminterface Satel;0 st.;600 €;0 €;;
;0 Alarmdetectoren, zie offerte alarm;;;;;
;;;;;;
;;;;;;
DT0F-00;USB programmatie modem incl. bindingsoftware;0 st.;500 €;0 €;;
;;;;;;
DT18-GT;Gateway Siri, Alexa, Google, http, mqtt, shelly, hue, openhap, …..;0 st.;650 €;0 €;;
DT13-BO;RS 232 interface matrix bose;0 st.;950 €;0 €;;
;;;;;;
DT10-AU;Tcp/ip Bluesound Sonos + 8 kan. IR interface;0 st.;950 €;0 €;;
;;;;;;
DT10-INT;Integra interface + 8 kan. IR transmitter;0 st.;1.295 €;0 €;;
DT10-B&O;B&O interface + 8 kan. IR transmitter;0 st.;1.295 €;0 €;;
DT03-06NC;6 kan. 16 A relais NC contact module;0 st.;480 €;0 €;;
;;;;;;
DT13-SW;CAN-switch 4 kanalen;0 st.;950 €;0 €;;
DT00-24SW;CAN-switch voeding 2 kanalen;0 st.;500 €;0 €;;
DT0E-00;RJ 11 Busconverter;0 st.;40 €;0 €;;
;Programmatie domotica (+/-);0 st.;79 €;0 €;;
DT00-01;Werfkit;;30 €;;;
DT18-PRO;Duotecno pro server;0 st.;950 €;0 €;;
;;;;;;
;Deze module kan tot 20 verschillende IP-connecties koppelen met de domotica.;;;;;
;;;;;;
App-Lite;Free app Duotecno;0 st.;0 €;0 €;;
App-Pro;Pro app Duotecno;0 st.;499 €;0 €;;
;Programmatie Interfaces;0 st.;79 €;0 €;;
;;;;;;
;Totaal interfaces;;;;;
;;;;;;
;Videofonie;;;;;
;;;;;;
;Voice over IP of SIP;;;;;
;;0 st.;;;;
;;0 st.;;;;
DT0D-10;TFT spraak voip/sip;0 st.;270 €;0 €;;
